route_id,design_source,target_inquiry,candidate_id,search_stratum,query_or_seed,title,authors,year,source_type,source_url_or_path,source_status,reason,next_action,relevance_axis,found_from,access_date
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,saba_2025_ai_brics_tax,setting,"(""artificial intelligence"" OR ""AI"") (""developing countries"" OR ""emerging economies"") ""economic growth"" OR ""productivity"" empirical","Artificial intelligence's (AI's) role in enhancing tax revenue, institutional quality, and economic growth in selected BRICS-plus countries","Saba CS, Monkam N",2025,journal_page,https://link.springer.com/article/10.1007/s40847-024-00401-0,needs_primary_source,BRICS-plus，AI+制度质量+增长，发展中经济体视角,open_primary_page,boundary_condition,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,de_clercq_2023_broadband_growth,setting,"(""digital infrastructure"" OR ""ICT infrastructure"" OR ""broadband"") ""economic growth"" cross-country panel ""fixed effects""",Economic growth and broadband access: The European urban-rural digital divide,"De Clercq M, D'Haese M, Buysse J",2023,journal_page,https://www.sciencedirect.com/science/article/pii/S0308596123000903,needs_primary_source,被引186，宽带+经济增长 FE 面板，数字基础设施测量参考,open_primary_page,measurement,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,zafar_2025_ai_patents_oecd,concept,"(""AI adoption"" OR ""AI patents"" OR ""industrial robots"") ""economic growth"" OR ""total factor productivity"" country-level",Artificial Intelligence Patents and Economic Growth: A Growth Framework for OECD Countries,"Zafar S, Ullah I, Khan KS, Khattak H",2025,journal_page,https://poverty.com.pk/index.php/Journal/article/view/1645,needs_primary_source,OECD AI 专利+增长框架，概念层参考,open_primary_page,concept,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,tritsaris_2025_occupational_tasks_automation,method,"(""task-based model"" OR ""automation"" OR ""new tasks"") Acemoglu Restrepo ""economic growth"" OR ""productivity"" OR ""labor"" empirical","Occupational Tasks, Automation, and Economic Growth: A Modeling and Simulation Approach",Tritsaris GA,2025,working_paper_repository,https://arxiv.org/abs/2512.16261,needs_primary_source,arXiv，任务+自动化+增长建模与模拟，方法参考,open_primary_page,method_anchor,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,korinek_2025_gen_ai_econ_research,database_refresh,Zotero 库中已有条目: 4B4B8AU2,Generative AI for Economic Research: Use Cases and Implications for Economists,Korinek A,2025,journal_page,Zotero: 4B4B8AU2,ready_for_extraction,已在 Zotero 个人库中，AI 对经济研究的含义，背景文献,extract_matrix_row,other,zotero_local,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,chaar_2025_ai_productivity_divide,concept,"""supercomputer"" OR ""TOP500"" OR ""compute capacity"" ""economic growth""",AI and the global productivity divide: Fuel for the fast or a lift for the laggards?,"Chaar T, Filippucci F, Cona-Lasinio C, et al.",2025,policy_report,https://www.oecd.org/en/publications/ai-and-the-global-productivity-divide_c315ea90-en.html,needs_primary_source,"OECD AI paper, directly relevant: AI productivity divide across countries",open_primary_page,concept,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,fruits_2026_ai_productivity_review,concept,"""supercomputer"" OR ""TOP500"" OR ""compute capacity"" ""economic growth""","AI, productivity, and labor markets: A review of the empirical evidence","Fruits E, Stout K",2026,working_paper_repository,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6323960,needs_primary_source,"SSRN 2026 survey, AI+productivity+labor empirical review",open_primary_page,method_anchor,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,zhang_2026_computing_infrastructure_financialization,concept,"""supercomputer"" OR ""TOP500"" OR ""compute capacity"" ""economic growth""",Computing power infrastructure and corporate financialization: evidence from China's supercomputing centers,"Zhang J, Wang M, Xia X",2026,journal_page,https://link.springer.com/article/10.1186/s40854-026-00946-5,needs_primary_source,"Financial Innovation 2026, China supercomputing centers → firm-level but relevant measurement",open_primary_page,measurement,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,taylor_2025_digital_economy_productivity,concept,"""supercomputer"" OR ""TOP500"" OR ""compute capacity"" ""economic growth""",The digital economy and productivity,Byrne DM,2022,policy_report,https://www.degruyterbrill.com/document/doi/10.7208/chicago/9780226836348-006/pdf,background_only,"Digital economy productivity overview, not specifically AI or compute capacity",exclude,measurement,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,filippucci_2024_miracle_myth,forward_chase,Acemoglu 2025 Simple Macro AI forward chase,Miracle or Myth? Assessing the macroeconomic productivity gains from Artificial Intelligence,"Filippucci F, Gal P, Schief M",2024,policy_report,https://www.oecd.org/en/publications/miracle-or-myth-assessing-the-macroeconomic-productivity-gains-from-artificial-intelligence_9e56b3b8-en.html,needs_primary_source,"OECD AI paper, directly addressing Acemoglu 2025 claims, macro productivity",open_primary_page,concept,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,verschuere_2026_measuring_ai_productivity,forward_chase,Acemoglu 2025 Simple Macro AI forward chase,Measuring the Impact of AI on Productivity: Cross-Sectoral Evidence from Eighteen Economies Post-ChatGPT,"Verschuere B, Cameron A",2026,working_paper_repository,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6663038,needs_primary_source,"SSRN 2026, 18 economies post-ChatGPT, directly estimates AI productivity impact cross-country",open_primary_page,concept,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,nguyen_2026_national_ai_strategies,forward_chase,Acemoglu 2025 Simple Macro AI forward chase,National AI Strategies and Macroeconomic Performance: A Staggered Difference-in-Differences Approach,Nguyen PV,2026,working_paper_repository,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6580199,needs_primary_source,"SSRN 2026, staggered DID on national AI strategies → macro performance",open_primary_page,method_anchor,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,drago_2025_ai_adoption_drivers,forward_chase,Acemoglu 2025 Simple Macro AI forward chase,Macroeconomic and labor market drivers of AI adoption in Europe: A machine learning and panel data approach,"Drago C, Costantiello A, Savorgnan M, Leogrande A",2025,journal_page,https://www.mdpi.com/2227-7099/13/8/226,needs_primary_source,"Economies (MDPI) 2025, ML+panel, AI adoption drivers, measurement reference",open_primary_page,measurement,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,caiyuezhou_2019_ai_high_quality_growth,setting,人工智能 经济增长 跨国面板,新技术革命下人工智能与高质量增长、高质量就业,"蔡跃洲, 陈楠",2019,journal_page,"数量经济技术经济研究, 2019",needs_primary_source,数量经济技术经济研究，AI与高质量增长+就业，中文核心期刊,open_primary_page,concept,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,xieweili_2025_ai_manufacturing_gvc,setting,人工智能 经济增长 跨国面板,人工智能、知识产权保护与制造业价值链韧性——基于跨国行业面板数据的实证,"谢伟丽, 邹淑青",2025,journal_page,https://journal03.magtech.org.cn/Jweb_gyjsjj/CN/PDF/10.3969/j.issn.1004-910X.2025.06.012,needs_primary_source,工业技术经济 2025，跨国行业面板+AI，但不直接测量增长,open_primary_page,concept,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,qiuzixun_2021_digital_tfp,setting,人工智能基础设施 经济影响 实证研究,数字经济发展与地区全要素生产率,"邱子迅, 周亚虹",2021,journal_page,https://qks.sufe.edu.cn/mv_html/j00001/202107/42436f32-e8bc-40b8-bfe7-69652b782e16_WEB.htm,needs_primary_source,财经研究 2021，数字经济发展→TFP，省级面板方法参考,open_primary_page,measurement,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,kwilinski_2024_ai_green_growth,forward_chase,AI and growth recent 2024-2026,Sustainable development in the European Union: Managing artificial intelligence technology for green economic growth,"Kwilinski A, Lyulyov O, Pimonenko T",2024,journal_page,"Polish Journal of Management Studies, 2024",needs_primary_source,"EU panel, AI → growth, methodologically relevant FE panel",open_primary_page,concept,serpapi_google_scholar,2026-07-04
R1,docs/research_starter_packet.md,AI算力扩张是否促进增长？自动化vs新任务渠道哪个主导？,sowa_2025_automation_ai_meta,forward_chase,Acemoglu 2025 Simple Macro AI forward chase,"Automation, Artificial Intelligence, and Employment in the European Union: An Early-Stage Meta-Analysis of Macroeconomic Studies","Sowa K, Przegalinska A, et al.",2025,working_paper_repository,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6149787,needs_primary_source,"SSRN 2025, meta-analysis of AI automation + employment macro studies",open_primary_page,method_anchor,serpapi_google_scholar,2026-07-04
